Country,Sex,Year,BMI
Cuba,Female,2018,28.1
Cyprus,Both sexes,2023,21.8
Cyprus,Male,2023,21.9
Cyprus,Female,2023,21.6
Cyprus,Both sexes,2022,21.4
Cyprus,Male,2022,21.4
Cyprus,Female,2022,21.4
Cyprus,Both sexes,2021,21.1
Cyprus,Male,2021,20.9
Cyprus,Female,2021,21.1
Cyprus,Both sexes,2020,20.7
Cyprus,Male,2020,20.5
Cyprus,Female,2020,20.9
Cyprus,Both sexes,2019,20.4
Cyprus,Male,2019,20.1
Cyprus,Female,2019,20.7
Cyprus,Both sexes,2018,20.1
Cyprus,Male,2018,19.6
Cyprus,Female,2018,20.5
Czechia,Both sexes,2023,26
Czechia,Male,2023,26.4
Czechia,Female,2023,25.4
Czechia,Both sexes,2022,25.6
Czechia,Male,2022,25.9
Czechia,Female,2022,25.2
Czechia,Both sexes,2021,25.2
Czechia,Male,2021,25.4
Czechia,Female,2021,25
Czechia,Both sexes,2020,24.9
Czechia,Male,2020,24.9
Czechia,Female,2020,24.7
Czechia,Both sexes,2019,24.5
Czechia,Male,2019,24.5
